title,author,genres,rating,chapters,reviews,url
A Record of a Mortal’s Journey to Immortality,Wang Yu 忘语,Chinese;Fantasy;Xianxia;Action;Crafting,82%,2455 Chapters,250,https://www.wuxiaworld.com/novel/rmji
A Will Eternal,Er Gen [耳根],Chinese;Fantasy;Comedy;Xianxia;Action;Alchemy;Political Intrigue,91%,1317 Chapters,179,https://www.wuxiaworld.com/novel/a-will-eternal
Absolute Resonance,Li Hu (Tian Can Tu Dou/Heavenly Silkworm Potato),Chinese;Cultivation;Xuanhuan;Action;Alchemy;Political Intrigue,71%,844 Chapters,138,https://www.wuxiaworld.com/novel/absolute-resonance
Against the Gods,Mars Gravity,Chinese;Romance;Fantasy;Comedy;Mystery;Xuanhuan;Action;Mature;Harem,76%,1977 Chapters,458,https://www.wuxiaworld.com/novel/against-the-gods
Almighty Sword Domain,On Azure Phoenix Peak (青鸾峰上),Chinese;Fantasy;Comedy;Mystery;Xuanhuan;Action;Crafting,52%,2799 Chapters,103,https://www.wuxiaworld.com/novel/almighty-sword-domain
Ancient Strengthening Technique,I Am Superfluous,Chinese;Romance;Fantasy;Comedy;Xuanhuan;Action;Crafting;Alchemy;Cooking;Mature,50%,2492 Chapters,105,https://www.wuxiaworld.com/novel/ancient-strengthening-technique
Archfiend,Hellsing (厄夜怪客),Chinese;Fantasy;Mystery;Action;Tragedy;Alchemy;Modern Setting;Mature,83%,528 Chapters,28,https://www.wuxiaworld.com/novel/archfiend
Battle Through the Heavens,"Li Hu, also known as '天蚕土豆', 'Heavenly Silkworm Potato'",Chinese;Fantasy;Xuanhuan;Action,70%,1648 Chapters,113,https://www.wuxiaworld.com/novel/battle-through-the-heavens
Beastmaster of the Ages,Feng Qingyang (风青阳),Chinese;Fantasy;Xuanhuan;Action;Pets,63%,2126 Chapters,139,https://www.wuxiaworld.com/novel/beastmaster-of-the-ages
Child of Light,Tang Jia San Shao (唐家三少),Chinese;Fantasy;Comedy;Action,73%,357 Chapters,36,https://www.wuxiaworld.com/novel/child-of-light
City of Sin,Misty Rain of Jiangnan (煙雨江南),Chinese;Fantasy;Action;Tragedy;Mature,83%,1439 Chapters,144,https://www.wuxiaworld.com/novel/city-of-sin
Coiling Dragon,I Eat Tomatoes (我吃西红柿),Chinese;Fantasy;Action,91%,3 Chapters,99,https://www.wuxiaworld.com/novel/coiling-dragon-preview
